,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,veg(0)/nonveg(1),Category
0,Cows' milk,1 qt.,100,67.62295081967214,3.278688524590164,4.0983606557377055,3.6885245901639343,0.0,4.918032786885246,0,Dairy products
1,Milk skim,1 qt.,100,36.58536585365854,3.6585365853658534,0.0,0.0,0.0,5.284552845528455,0,Dairy products
2,Buttermilk,1 cup,100,51.6260162601626,3.6585365853658534,2.0325203252032518,1.6260162601626016,0.0,5.284552845528455,0,Dairy products
3,"Evaporated, undiluted",1 cup,100,136.9047619047619,6.349206349206349,7.936507936507938,7.142857142857142,0.0,9.523809523809524,0,Dairy products
4,Fortified milk,6 cups,100,96.75828047921073,6.272022551092317,2.9598308668076116,1.6208597603946442,0.0,8.386187455954897,0,Dairy products
5,Powdered milk,1 cup,100,500.0,26.21359223300971,27.184466019417478,23.30097087378641,0.0,37.864077669902905,0,Dairy products
6,"skim, instant",1 1/3 cups,100,341.1764705882353,35.29411764705883,0.0,0.0,0.0,49.411764705882355,0,Dairy products
7,"skim, non-instant",2/3 cup,100,341.1764705882353,35.29411764705883,0.0,0.0,1.1764705882352942,49.411764705882355,0,Dairy products
8,Goats' milk,1 cup,100,67.62295081967214,3.278688524590164,4.0983606557377055,3.278688524590164,0.0,4.508196721311474,0,Dairy products
9,(1/2 cup ice cream),2 cups,100,127.77777777777777,4.4444444444444455,4.4444444444444455,4.0740740740740735,0.0,12.962962962962965,0,Dairy products
10,Cocoa,1 cup,100,93.25396825396824,3.1746031746031744,4.365079365079366,3.968253968253968,0.0,10.317460317460318,0,Dairy products
11,skim. milk,1 cup,100,51.2,7.2,1.6,1.2,0.4,5.2,0,Dairy products
12,(cornstarch),1 cup,100,110.88709677419355,3.629032258064516,4.032258064516129,3.629032258064516,0.0,16.129032258064516,0,Dairy products
13,Custard,1 cup,100,114.91935483870968,5.241935483870968,5.645161290322582,4.435483870967742,0.0,11.290322580645164,0,Dairy products
14,Ice cream,1 cup,100,159.57446808510642,3.191489361702128,9.574468085106382,8.51063829787234,0.0,15.425531914893615,0,Dairy products
15,Ice milk,1 cup,100,144.73684210526315,4.7368421052631575,5.2631578947368425,4.7368421052631575,0.0,16.842105263157894,0,Dairy products
16,Cream or half-and-half,1/2 cup,100,141.66666666666666,3.333333333333333,12.5,10.833333333333336,0.0,4.166666666666667,0,Dairy products
17,or whipping,1/2 cup,100,361.34453781512605,1.680672268907563,36.97478991596638,22.689075630252105,0.8403361344537815,2.5210084033613445,0,Dairy products
18,Cheese,1 cup,100,106.66666666666669,13.333333333333336,4.888888888888889,4.4444444444444455,0.0,2.6666666666666665,0,Dairy products
19,uncreamed,1 cup,100,86.66666666666669,16.88888888888889,0.0,0.0,0.0,2.6666666666666665,0,Dairy products
20,Cheddar,1-in. cube,100,411.7647058823529,23.529411764705888,35.29411764705883,29.411764705882355,0.0,0.0,0,Dairy products
21,"Cheddar, grated cup",1/2 cup,100,403.57142857142856,25.0,33.92857142857143,30.357142857142854,0.0,1.7857142857142858,0,Dairy products
22,Cream cheese,1 oz.,100,375.0,7.142857142857142,39.285714285714285,35.714285714285715,0.0,3.571428571428572,0,Dairy products
23,Processed cheese,1 oz.,100,375.0,25.0,32.142857142857146,28.57142857142857,0.0,0.0,0,Dairy products
24,Roquefort type,1 oz.,100,375.0,21.428571428571427,32.142857142857146,28.57142857142857,0.0,0.0,0,Dairy products
25,Swiss,1 oz.,100,375.0,25.0,28.57142857142857,25.0,0.0,0.0,0,Dairy products
26,Eggs raw,2,100,150.0,12.0,12.0,10.0,0.0,0.0,0,Dairy products
27,Eggs Scrambled or fried,2,100,171.875,10.15625,12.5,10.9375,0.0,0.78125,0,Dairy products
28,Yolks,2,100,352.94117647058823,17.647058823529417,29.411764705882355,23.529411764705888,0.0,0.0,0,"Fats, Oils, Shortenings"
29,Butter,1T.,100,714.2857142857142,0.0,78.57142857142857,71.42857142857143,0.0,0.0,0,"Fats, Oils, Shortenings"
30,Butter,1/2 cup,100,100.89285714285714,101.78571428571428,102.67857142857143,103.57142857142857,104.46428571428572,105.35714285714286,0,"Fats, Oils, Shortenings"
31,Butter,1/4 lb.,100,100.89285714285714,101.78571428571428,102.67857142857143,103.57142857142857,104.46428571428572,105.35714285714286,0,"Fats, Oils, Shortenings"
32,Hydrogenated cooking fat,1/2 cup,100,665.0,0.0,100.0,88.0,0.0,0.0,0,"Fats, Oils, Shortenings"
33,Lard,1/2 cup,100,901.8181818181821,0.0,100.0,83.63636363636364,0.0,0.0,0,"Fats, Oils, Shortenings"
34,Margarine,1/2 cup,100,719.6428571428571,0.0,81.25,67.85714285714286,0.0,0.0,0,"Fats, Oils, Shortenings"
35,"Margarine, 2 pat or",1 T.,100,714.2857142857142,0.0,78.57142857142857,64.28571428571429,0.0,0.0,0,"Fats, Oils, Shortenings"
36,Mayonnaise,1 T.,100,733.3333333333335,0.0,80.0,33.333333333333336,0.0,0.0,0,"Fats, Oils, Shortenings"
37,Corn oil,1 T.,100,892.8571428571429,0.0,100.0,35.714285714285715,0.0,0.0,0,"Fats, Oils, Shortenings"
38,Olive oil,1T.,100,892.8571428571429,0.0,100.0,21.428571428571427,0.0,0.0,0,"Fats, Oils, Shortenings"
39,Safflower seed oil,1 T.,100,892.8571428571429,0.0,100.0,21.428571428571427,0.0,0.0,0,"Fats, Oils, Shortenings"
40,French dressing,1 T.,100,400.0,0.0,40.0,13.333333333333336,0.0,13.333333333333336,0,"Fats, Oils, Shortenings"
