State,Hospital name,Establishment ID,Medicare Provider No.,Local Hospital Network identifier,Local Hospital Network,Address Line 1,Address Line 2,asgc_ra,Remoteness area,Number of available beds,2012-13 Peer Group code,Peer Group Name,Provided data for NPHED,Provided data for NHMD,Provided data for NAPEDCD,Provided data for ESWT,Provided data for NNAPCD,IHPA funding designation
ACT,Calvary Health Care Bruce,810000083,3531230T,801,Australian Capital Territory,1 Hayden                                        Dr,Bruce                                                  2617,0,Major Cities,303,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
ACT,Canberra Hospital,810000082,0090030B,801,Australian Capital Territory,Yamba                                         Dr,Garran                                                 2605,0,Major Cities,781,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
ACT,QEII Family Centre,810000084,0090020F,801,Australian Capital Territory,129 Carruthers                                    St,Curtin                                                 2605,0,Major Cities,26,O1,Early parenting centres,Yes,No,No,No,No,Block-funded hospital
NSW,Armidale,1180J2010,0010570T,109,Hunter New England,226 Rusden                                        St,Armidale                                               2350,1,Inner Regional,94,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Auburn,1174D2010,0010020A,104,Western Sydney,18 Hargrave                                      Rd,Auburn                                                 2144,0,Major Cities,124.2,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Ballina,1181H2010,0010580L,111,Northern NSW,78 Cherry                                        St,Ballina                                                2478,1,Inner Regional,71.3,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Balmain,1170A2010,0010030Y,102,Sydney,29 Booth                                         St,Balmain                                                2041,0,Major Cities,63.6,S2,Public acute group D,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Balranald (MPS),1186M2020,0010590K,115,Far West,41 Court                                         St,Balranald                                              2715,2,Outer Regional,23.9,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Bankstown/ Lidcombe,1171D2270,0010040X,103,South Western Sydney,68 Eldridge                                      Rd,Bankstown                                              2200,0,Major Cities,388.3,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Baradine (MPS),1185K2070,0011030L,112,Western NSW,5 Darling                                       St,Baradine                                               2396,3,Remote,18,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Barham Koondrook,1184M2030,0010610A,114,Murrumbidgee,70 Punt                                          Rd,Barham                                                 2732,2,Outer Regional,6,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Barraba (MPS),1180J2020,0010620Y,109,Hunter New England,1 Edward                                        St,Barraba                                                2347,2,Outer Regional,22,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Batemans Bay,1183N2010,0010640W,113,Southern NSW,7 Pacific                                       St,Batemans Bay                                           2536,1,Inner Regional,35,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Bathurst,1185L2010,0010650T,112,Western NSW,361 Howick                                        St,Bathurst                                               2795,1,Inner Regional,112.8,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Batlow/Adelong (MPS),1184R2020,0010660L,114,Murrumbidgee,61 Pioneer                                       St,Batlow                                                 2730,2,Outer Regional,24,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Bega,1183N2020,0010670K,113,Southern NSW,1 McKee                                         Dr,Bega                                                   2550,2,Outer Regional,90,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Bellinger River,1182H2030,0010680J,110,Mid North Coast,43 Church                                        St,Bellingen                                              2454,2,Outer Regional,39.2,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Belmont,1180Q2140,0012550B,109,Hunter New England,16 Croudace Bay                                  Rd,Belmont                                                2280,0,Major Cities,117.9,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Berrigan (MPS),1184M2040,0010700Y,114,Murrumbidgee,137 Memorial Place,Berrigan                                               2712,2,Outer Regional,14,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Bingara (MPS),1180J2030,0010710X,109,Hunter New England,1 Keera                                         St,Bingara                                                2404,2,Outer Regional,20.8,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Blacktown,1174D2030,0012490Y,104,Western Sydney,44 Blacktown                                     Rd,Blacktown                                              2148,0,Major Cities,415.1,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Blayney (MPS),1185L2020,0010720W,112,Western NSW,3 Osman                                         St,Blayney                                                2799,1,Inner Regional,25.2,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Blue Mountains,1175D2040,0010730T,105,Nepean Blue Mountains,Lot 3 Woodlands                                     Rd,Katoomba                                               2780,0,Major Cities,91.1,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Boggabri (MPS),1180J2040,0010740L,109,Hunter New England,3 Wee Waa                                       St,Boggabri                                               2382,2,Outer Regional,20,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Bombala (MPS),1183N2030,0010750K,113,Southern NSW,126 Wellington                                    St,Bombala                                                2632,2,Outer Regional,18,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Bonalbo,1181H2070,0010760J,111,Northern NSW,1 Hospital                                      Rd,Bonalbo                                                2469,2,Outer Regional,0,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
NSW,Boorowa (MPS),1184N2040,0010770H,114,Murrumbidgee,62 Dry                                           St,Boorowa                                                2586,1,Inner Regional,18,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Bourke (MPS),1185K2010,0010780F,112,Western NSW,26 Tarcoon                                       St,Bourke                                                 2840,4,Very remote,32.1,S2,Public acute group D,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Bourke Street Health Service,1183N2160,0012020H,113,Southern NSW,234 Bourke                                        St,Goulburn                                               2580,1,Inner Regional,42.6,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
